category,feature,auc,direction,seal_median,unseal_median
dynamic_response,corr_out_hum_in_hum,1.0,pos,0.738260245049402,0.9895938484614762
dynamic_response,max_corr_outRH_inRH_change,0.8888888888888888,pos,-0.6796397671673594,0.9070084542008683
dynamic_response,max_corr_dAH_change,0.6666666666666666,pos,0.7246604476789771,0.9611906964733717
dynamic_response,best_lag_h,0.6666666666666666,pos,1.0,1.0
dynamic_response,best_lag_rh_h,0.5555555555555556,pos,0.0,0.0
dynamic_response,gain_ratio_dAH_change,0.5555555555555556,neg,0.41766653523253455,0.4826478918834303
dynamic_response,corr_out_AH_in_AH,0.5555555555555556,neg,0.8370074289597724,0.9057929978875549
route_persistence,frac_threshold_favored,0.7222222222222222,pos,0.2222222222222222,0.7741935483870968
route_persistence,frac_pos_delta_half_dAH,0.7222222222222222,pos,0.2222222222222222,0.7741935483870968
route_persistence,candidate_high_info_ratio,0.6666666666666666,neg,1.0,1.0
route_persistence,heat_related_ratio,0.6666666666666666,pos,0.0,0.0
route_persistence,route_heat_reject_ratio,0.6666666666666666,pos,0.0,0.0
route_persistence,route_background_ratio,0.5,pos,0.0,0.0
run_physical,std_in_hum_run,0.8888888888888888,neg,1.0414580006092908,0.4691021898685808
run_physical,mean_out_h,0.7777777777777778,pos,88.45334777471444,92.97087045361666
run_physical,mean_dT,0.6666666666666666,pos,-0.03685073339085451,-0.01140988966080916
run_physical,delta_half_in_h,0.6666666666666666,neg,1.736867309868387,0.6536850305411548
run_physical,slope_in_h_per_h,0.6666666666666666,neg,0.11234316999522387,0.07952363790591879
run_physical,dAH_positive_ratio,0.6666666666666666,neg,0.0,0.0
run_physical,mean_dAH,0.5555555555555556,pos,-4.2121693117821835,-4.18294670580748
run_physical,delta_half_dAH,0.5555555555555556,neg,-0.10188926001889431,0.0783985662827904
run_physical,slope_dAH_per_h,0.5555555555555556,neg,-0.014495321943102945,0.003619459220984591
run_physical,amp_dAH_p95_p05,0.5555555555555556,neg,0.8314976200549182,0.4315052919935063
window_tail,q90_delta_half_in_hum,0.6666666666666666,neg,1.3186805555555632,0.5238006395466925
window_tail,q90_delta_half_dAH_w,0.6666666666666666,pos,0.0020649141267660384,0.09381572998462362
window_tail,q90_slope_AH_in,0.5555555555555556,pos,-0.005708270713355281,0.009086824607691921
window_tail,q90_max_hourly_hum_rise,0.5555555555555556,pos,0.2981666666666598,0.13666666666667027
window_tail,top3_info_mean,0.5555555555555556,neg,0.59276612163249,0.7056054840551366
