feature,importance
slope_out_hum,0.19436836
mean_in_hum,0.18845743
mean_dAH,0.16442263
mean_out_temp,0.1072905
std_out_hum,0.09667558
mean_AH_in,0.045161456
mean_in_temp,0.03497621
slope_AH_out,0.0217935
mean_dT,0.019515662
std_in_hum,0.015270233
slope_dT,0.014540096
mean_out_hum,0.011421514
slope_dAH,0.010476764
delta_half_dT,0.009436203
slope_in_temp,0.0072243367
corr_hum,0.006523241
slope_AH_in,0.006123641
delta_half_dAH,0.0057965512
max_hourly_hum_rise,0.005561795
slope_out_temp,0.0055441856
std_in_temp,0.0050792363
max_hourly_temp_rise,0.004440848
delta_half_AH_in,0.003904817
corr_AH,0.0023560282
std_out_temp,0.0022709677
delta_half_in_hum,0.0022441428
std_dAH,0.002019664
slope_in_hum,0.0020186214
mean_AH_out,0.0017965619
corr_temp,0.0017755801
std_dT,0.0011821053
delta_in_temp,0.00033151553
delta_half_in_temp,0.0
std_AH_in,0.0
delta_in_hum,0.0
delta_AH_in,0.0
high_out_hum_ratio,0.0
max_hourly_temp_drop,0.0
std_AH_out,0.0
