file_token,in_input_files,in_metadata_manifest
120165518_20260308-104441_sealed_extEq_intEq_noHeat_noChange_na,1,0
120165519_20260309-102255_sealed_extLow_intHigh_noHeat_Change_20260310-1000_unsealed,1,0
120165519_20260313-111811_sealed_extLow_intHigh_Heat_Change_20260315-1500_unsealed,1,0
120165520_20260310-170038_sealed_extEq_intEq_Heat_Change_20260313-1002_unsealed,1,0
120165520_20260315-140001_unsealed_extEq_intEq_noHeat_noChange_na,1,0
120165520_20260318-000055_sealed_extEq_intEq_noHeat_Change_20260318-0903_Heat,1,0
120165520_20260318-090358_sealed_extEq_intEq_Heat_Change_20260319-1520_unsealed,1,0
120165520_20260323-120048_unseal_extEq_intLow_Heat_Change_20260323-1545_extHigh,1,0
120165520_20260324_080048_sealed_extEq_intEq_Heat_Change_20260324-2207_noHeat,1,0
120165524_20260302 161335_sealed_extHigh_intLow_noHeat_noChange_na,1,0
120165524_20260303-101220_sealed_extHigh_intLow_Heat_noChange_na,1,0
120165524_20260303-181049_unsealed_extHigh_intLow_noHeat_noChange_na,1,0
120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed,1,0
120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na,1,0
120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed,1,0
120165524_20260313-080032_unsealed_extHigh_intLow_noHeat_Change_20260313-1001_Heat,1,0
120165524_20260314-174006_unsealed_extHigh_intLow_Heat_noChange_na,1,0
120165524_20260317-180258_seal_heated_extHigh_intLow_noHeat_Change_20260317-1830_Heat,1,0
120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat,1,0
120165524_20260323-213435_seal_extHigh_intLow_noHeat_Change_20260324-9000_unseal,1,0
