run_id,segment_id,segment_name,support_status_v2,support_risk_v2,support_reason_v2,weak_positive_support_score_v2,breathing_suppression_score_v2,confound_reject_score_v2,review_priority_v2,review_segment_count_v2,review_label,reviewer,review_note,review_status_v2,feedback_action_v1
120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed,120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed::post_change,post_change,transition_primary_support,high,run contains a mainfield seal-to-unsealed transition and should stay transition-led,0.6666666666666666,1.0,0.4,0,1,transition_positive,codex_auto_seed_v1,mainfield transition post-change segment with strongest evidence,reviewed,confirm_transition_primary
120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed,120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed::post_change,post_change,transition_primary_support,high,run contains a mainfield seal-to-unsealed transition and should stay transition-led,1.0,0.0,0.4,0,0,transition_positive,codex_auto_seed_v1,mainfield transition post-change segment with strongest evidence,reviewed,confirm_transition_primary
120165524_20260323-213435_seal_extHigh_intLow_noHeat_Change_20260324-9000_unseal,120165524_20260323-213435_seal_extHigh_intLow_noHeat_Change_20260324-9000_unseal::post_change,post_change,transition_primary_support,high,run contains a mainfield seal-to-unsealed transition and should stay transition-led,0.6666666666666666,0.0,0.6,0,1,transition_positive,codex_auto_seed_v1,mainfield transition post-change segment with strongest evidence,reviewed,confirm_transition_primary
120165524_20260303-181049_unsealed_extHigh_intLow_noHeat_noChange_na,120165524_20260303-181049_unsealed_extHigh_intLow_noHeat_noChange_na::full,full,static_supported_weak_positive,medium,raw static baseline stayed weak but multiview support score rose to 1.00,1.0,1.0,0.75,1,1,positive_reference,codex_auto_seed_v1,full-run unsealed weak-positive segment upgraded by multiview support score 1.00,reviewed,promote_static_positive
120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na,120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na::full,full,static_watch_breathing_confirmed,watch,raw positive tendency is suppressed by breathing pattern score 1.00 with low support 0.17,0.1666666666666666,1.0,0.6,3,1,breathing_watch,codex_auto_seed_v1,sealed segment remains a confirmed breathing hard case,reviewed,confirm_breathing_watch
120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat,120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat::post_change,post_change,static_watch_confound_confirmed,watch,segment matches heat-off confound pattern score 1.00 with low support 0.33,0.3333333333333333,0.8,1.0,5,1,confound,codex_auto_seed_v1,heat-off post-change segment remains a confirmed confound challenge,reviewed,confirm_confound_watch
120165519_20260309-102255_sealed_extLow_intHigh_noHeat_Change_20260310-1000_unsealed,120165519_20260309-102255_sealed_extLow_intHigh_noHeat_Change_20260310-1000_unsealed::post_change,post_change,transition_secondary_control,watch,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,,,,7,2,,,,pending,no_change
120165519_20260313-111811_sealed_extLow_intHigh_Heat_Change_20260315-1500_unsealed,120165519_20260313-111811_sealed_extLow_intHigh_Heat_Change_20260315-1500_unsealed::post_change,post_change,transition_secondary_control,watch,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,,,,7,2,,,,pending,no_change
120165520_20260310-170038_sealed_extEq_intEq_Heat_Change_20260313-1002_unsealed,120165520_20260310-170038_sealed_extEq_intEq_Heat_Change_20260313-1002_unsealed::post_change,post_change,transition_secondary_control,watch,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,,,,7,2,,,,pending,no_change
120165520_20260318-090358_sealed_extEq_intEq_Heat_Change_20260319-1520_unsealed,120165520_20260318-090358_sealed_extEq_intEq_Heat_Change_20260319-1520_unsealed::post_change,post_change,transition_secondary_control,watch,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,,,,7,2,,,,pending,no_change
