segment_id,run_id,review_label,reviewer,review_note,segment_name,support_status_v2,support_risk_v2,support_reason_v2,weak_positive_support_score_v2,breathing_suppression_score_v2,confound_reject_score_v2,review_priority_v2,primary_task,segment_role,segment_source,segment_seal_state,segment_hours,static_bucket,transition_bucket,label_options,recommended_focus
120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed::post_change,120165524_20260304-120007_sealed_extHigh_intLow_noHeat_Change_20260304-1639_unsealed,,,,post_change,transition_primary_support,high,run contains a mainfield seal-to-unsealed transition and should stay transition-led,0.6666666666666666,1.0,0.4,0,static_mainfield_primary,mainfield_extHigh_intLow_noHeat,seal_change_to_unsealed,unsealed,40.64361111111111,static_positive_reference,transition_primary_mainfield,positive_reference|negative_reference|transition_positive|breathing_watch|confound|uncertain,先确认是否为真实主战场 transition 正样本
120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed::post_change,120165524_20260308-172014_sealed_extHigh_intLow_noHeat_Change_20260310-1000_unsealed,,,,post_change,transition_primary_support,high,run contains a mainfield seal-to-unsealed transition and should stay transition-led,1.0,0.0,0.4,0,static_mainfield_primary,mainfield_extHigh_intLow_noHeat,seal_change_to_unsealed,unsealed,71.98527777777778,static_positive_reference,transition_primary_mainfield,positive_reference|negative_reference|transition_positive|breathing_watch|confound|uncertain,先确认是否为真实主战场 transition 正样本
120165524_20260323-213435_seal_extHigh_intLow_noHeat_Change_20260324-9000_unseal::post_change,120165524_20260323-213435_seal_extHigh_intLow_noHeat_Change_20260324-9000_unseal,,,,post_change,transition_primary_support,high,run contains a mainfield seal-to-unsealed transition and should stay transition-led,0.6666666666666666,0.0,0.6,0,static_mainfield_primary,mainfield_extHigh_intLow_noHeat,seal_change_to_unsealed,unsealed,53.38583333333333,static_positive_reference,transition_primary_mainfield,positive_reference|negative_reference|transition_positive|breathing_watch|confound|uncertain,先确认是否为真实主战场 transition 正样本
120165524_20260303-181049_unsealed_extHigh_intLow_noHeat_noChange_na::full,120165524_20260303-181049_unsealed_extHigh_intLow_noHeat_noChange_na,,,,full,static_supported_weak_positive,medium,raw static baseline stayed weak but multiview support score rose to 1.00,1.0,1.0,0.75,1,static_eval_only,mainfield_extHigh_intLow_noHeat,full_run,unsealed,15.206944444444444,static_positive_eval_only,,positive_reference|negative_reference|transition_positive|breathing_watch|confound|uncertain,先确认是否可升级为段级正参考
120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na::full,120165524_20260306-160246_sealed_extHigh_intLow_noHeat_noChange_na,,,,full,static_watch_breathing_confirmed,watch,raw positive tendency is suppressed by breathing pattern score 1.00 with low support 0.17,0.1666666666666666,1.0,0.6,3,control_challenge,mainfield_extHigh_intLow_noHeat,full_run,sealed,42.303333333333335,static_breathing_watch,,positive_reference|negative_reference|transition_positive|breathing_watch|confound|uncertain,先确认是否属于密封呼吸难例
120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat::post_change,120165524_20260321-170450_unseal_extHigh_intLow_Heat_Change_20260321-1800_noHeat,,,,post_change,static_watch_confound_confirmed,watch,segment matches heat-off confound pattern score 1.00 with low support 0.33,0.3333333333333333,0.8,1.0,5,control_challenge,mainfield_extHigh_intLow_noHeat,heat_off,unsealed,47.59916666666667,static_heatoff_confound_challenge,,positive_reference|negative_reference|transition_positive|breathing_watch|confound|uncertain,先确认是否属于 heat-off 混淆段
120165519_20260309-102255_sealed_extLow_intHigh_noHeat_Change_20260310-1000_unsealed::post_change,120165519_20260309-102255_sealed_extLow_intHigh_noHeat_Change_20260310-1000_unsealed,,,,post_change,transition_secondary_control,watch,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,,,,7,transition_context,internal_moisture_control,seal_change_to_unsealed,unsealed,71.9888888888889,,transition_secondary_control,positive_reference|negative_reference|transition_positive|breathing_watch|confound|uncertain,先确认是否仅作控制 transition，不进入主战场
120165519_20260313-111811_sealed_extLow_intHigh_Heat_Change_20260315-1500_unsealed::post_change,120165519_20260313-111811_sealed_extLow_intHigh_Heat_Change_20260315-1500_unsealed,,,,post_change,transition_secondary_control,watch,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,,,,7,transition_context,internal_moisture_control,seal_change_to_unsealed,unsealed,48.00388888888889,,transition_secondary_control,positive_reference|negative_reference|transition_positive|breathing_watch|confound|uncertain,先确认是否仅作控制 transition，不进入主战场
120165520_20260310-170038_sealed_extEq_intEq_Heat_Change_20260313-1002_unsealed::post_change,120165520_20260310-170038_sealed_extEq_intEq_Heat_Change_20260313-1002_unsealed,,,,post_change,transition_secondary_control,watch,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,,,,7,transition_context,balanced_control,seal_change_to_unsealed,unsealed,48.00472222222222,,transition_secondary_control,positive_reference|negative_reference|transition_positive|breathing_watch|confound|uncertain,先确认是否仅作控制 transition，不进入主战场
120165520_20260318-090358_sealed_extEq_intEq_Heat_Change_20260319-1520_unsealed::post_change,120165520_20260318-090358_sealed_extEq_intEq_Heat_Change_20260319-1520_unsealed,,,,post_change,transition_secondary_control,watch,segment belongs to a seal-change run outside the main battlefield and should stay as a transition challenge,,,,7,transition_context,balanced_control,seal_change_to_unsealed,unsealed,43.41833333333334,,transition_secondary_control,positive_reference|negative_reference|transition_positive|breathing_watch|confound|uncertain,先确认是否仅作控制 transition，不进入主战场
